Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
98-47,Tar,37.23626,-122.41644,Monterey Bay,Training,n/a,32,< 5,-22.7,0.2,4.3,1.1,80,2.1,2.3,0.62,0.12,0.69,0.38,0.74,0.55,0.83,2.1,0.74,0.03,0.09,0.06
98-91,Seep,35.1756,-120.71684,Morro Bay,Training,n/a,32,< 5,-22.7,0.2,4.2,1.1,103,2.6,2.8,0.61,0.11,0.71,0.38,0.74,0.55,0.83,2.1,0.76,0.03,0.1,0.05
98-93,Tar,35.2886,-120.88297,Morro Bay,Training,n/a,22,< 5,-23,0.31,4.7,1.1,14,1.1,1.3,0.71,0.13,0.46,0.53,0.84,0.5,0.71,1.9,0.86,0.07,0.13,0.09
98-94,Tar,35.2886,-120.88297,Morro Bay,Training,n/a,33,< 5,0,0.17,4,1,114,3.1,3.6,0.57,0.08,1,0.29,0.75,0.57,0.77,2.3,0.95,0.03,0.12,0.05
98-96,Tar,35.41148,-120.8727,Morro Bay,Training,n/a,33,< 5,-22.8,0.19,3.7,0.93,135,3.2,3.6,0.55,0.08,0.99,0.29,0.74,0.57,0.77,2.2,1.1,0.03,0.12,0.05
98-98,Tar,35.57242,-121.11342,"Ragged Pt.,",Training,n/a,33,< 5,0,0.21,4,1,138,3.5,3.8,0.56,0.09,0.93,0.31,0.74,0.58,0.67,2.3,1,0.02,0.01,0.06
98-100,Tar,35.75968,-121.32609,"Big Sur
Ragged Pt.,",Training,n/a,33,< 5,0,0.18,3.6,1,137,3.5,3.9,0.55,0.07,1.2,0.25,0.75,0.57,0.83,2.4,1.1,0.02,0.12,0.05
98-101,Tar,35.75968,-121.32609,"Big Sur
Ragged Pt.,",Training,n/a,33,< 5,-22.8,0.18,3.6,1,140,3.5,3.9,0.55,0.07,1.1,0.26,0.75,0.59,0.83,2.3,1.1,0.02,0.13,0.05
98-102,Tar,35.75968,-121.32609,"Big Sur
Ragged Pt.,",Training,n/a,32,< 5,-22.7,0.2,4.3,1.1,103,2.7,2.8,0.62,0.11,0.74,0.37,0.74,0.55,0.83,2.1,0.78,0.03,0.12,0.06
98-125,Tar,35.75905,-121.32656,"Big Sur
Ragged Pt.,",Training,n/a,32,< 5,-22.9,0.18,3.9,0.97,102,2.1,2.6,0.58,0.06,1.2,0.27,0.74,0.58,0.83,2.4,1.1,0.03,0.12,0.05
98-127,Tar,34.508,-120.5009,"Big Sur
Jalama",Training,n/a,22,< 5,-23.3,0.21,3.8,0.91,79,2,2.4,0.69,0.13,0.55,0.43,0.77,0.52,0.71,2,1.6,0.03,0.12,0.07
98-128,Tar,34.508,-120.5009,Jalama,Training,n/a,22,< 5,-23.3,0.22,3.7,0.97,60,1.8,2.2,0.72,0.14,0.52,0.45,0.76,0.49,0.67,2,1.4,0.03,0.11,0.07
98-131,Seep,34.36925,-119.85326,Coal Oil Point,Training,n/a,14,< 5,-22.8,0.48,6.7,1.1,3,0.63,0.76,0.79,0.21,0.28,0.77,0.9,0.39,0.59,1.3,0.52,0.08,0.07,0.13
98-132,Seep,34.36924,-119.85343,Coal Oil Point,Training,n/a,13,< 5,-22.4,0.59,6.2,1.1,2,0.61,0.68,0.69,0.25,0.26,0.83,0.74,0.38,0.67,1.1,0.39,0.25,0.11,0.17
98-134,Seep,34.36633,-119.83667,Coal Oil Point,Training,n/a,13,< 5,-22.7,0.83,7.9,1.1,1,0.54,0.69,0.79,0.27,0.2,0.87,0.92,0.31,0.53,0.87,0.27,0.19,0.08,0.23
98-135,Tar,34.40542,-119.84364,Goleta Point,Training,n/a,211,< 5,-22.9,0.34,5.7,1.1,11,0.78,1,0.76,0.11,0.42,0.63,0.87,0.5,0.67,1.7,0.78,0.06,0.09,0.1
98-136,Tar,34.40642,-119.84332,Goleta Point,Training,n/a,211,< 5,-22.8,0.33,5.9,1.1,9,0.88,1.1,0.73,0.17,0.37,0.63,0.84,0.48,0.67,1.7,0.77,0.07,0.08,0.09
98-138,Tar,34.40711,-119.87837,Coal Oil Point,Training,n/a,211,< 5,-22.9,0.31,5.3,1.1,17,0.6,0.79,0.72,0.13,0.43,0.59,0.84,0.47,0.71,1.8,0.83,0.06,0.08,0.1
98-139,Tar,34.46216,-120.06615,Tajiguas,Training,n/a,22,< 5,-23.3,0.24,4.4,1.1,37,1.5,1.9,0.71,0.14,0.48,0.48,0.77,0.51,0.67,1.9,1.1,0.04,0.1,0.07
99-1,Tar,33.71149,-118.06634,Sunset,Training,n/a,35,< 5,-23.3,0.24,7.7,0.98,247,4.5,5.1,0.61,0.07,0.89,0.37,0.66,0.62,0.63,1.7,0.74,0.03,0.07,0.07
99-2,Tar,33.71208,-118.06675,Sunset,Training,n/a,35,< 5,-23.4,0.25,5.5,1.2,160,3.8,3.8,0.64,0.1,0.73,0.38,0.69,0.58,0.71,1.6,0.39,0.04,0.07,0.07
99-3,Tar,33.90612,-118.42362,Manhattan,Training,n/a,35,< 5,-23.4,0.25,5.8,1.2,146,3.7,3.7,0.65,0.1,0.73,0.38,0.69,0.58,0.71,1.6,0.41,0.04,0.07,0.07
99-4,Tar,33.90612,-118.42362,Manhattan,Training,n/a,35,< 5,-23.3,0.24,5.7,1.2,174,3.9,4,0.64,0.09,0.79,0.37,0.7,0.58,0.71,1.6,0.43,0.04,0.07,0.07
99-5,Tar,33.96129,-118.4553,Los Angeles,Training,n/a,13,< 5,-23.3,0.43,7.6,1.2,61,1.3,1.4,0.75,0.12,0.24,0.91,0.73,0.35,0.5,1.1,0.32,0.11,0.08,0.16
