Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
00-66,Tar,37.72507,-122.50649,Funston,Training,n/a,34,< 5,-22.8,0.18,2.9,1.1,163,4,4.2,0.59,0.1,0.93,0.29,0.67,0.51,0.71,2.3,0.82,0.02,0.12,0.05
00-67,Seep,34.0493,-119.396,Anacapa,Training,n/a,212,< 5,-23.4,0.26,5.4,1.3,26,1.9,2,0.77,0.21,0.35,0.59,0.76,0.46,0.71,1.4,1.4,0.05,0.07,0.09
00-72,Tar,36.79183,-121.79302,Moss Landing,Training,n/a,33,< 5,0,0.16,3.7,1,113,3.7,4.2,0.59,0.08,1.2,0.25,0.71,0.54,0.91,2.1,1.1,0.02,0.11,0.05
00-73,Tar,36.79183,-121.79302,Salinas River,Training,n/a,33,< 5,-22.8,0.15,3.6,1.1,132,3.6,4.3,0.57,0.08,1.2,0.25,0.69,0.54,0.91,2.1,1.1,0.02,0.11,0.05
00-74,Oil,36.92944,-121.58432,Sargent field,Training,n/a,12,< 5,-24.1,0.5,5,0.98,5,0.22,0.23,0.84,0.27,0.17,0.68,0.9,0.28,0.56,0.59,0.18,0.06,0.03,0.19
00-75,Oil,36.92927,-121.58443,Sargent field,Training,n/a,12,< 5,-24.1,0.5,5.4,1,6,0.23,0.25,0.87,0.24,0.17,0.65,0.88,0.28,0.59,0.63,0.15,0.06,0.03,0.19
00-76,Oil,36.92913,-121.58477,Sargent field,Training,n/a,12,< 5,-24.1,0.5,4.9,1,5,0.23,0.24,0.85,0.25,0.17,0.68,0.9,0.27,0.56,0.64,0.18,0.05,0.03,0.19
00-77,Oil,36.9262,-121.58284,Sargent field,Training,n/a,12,< 5,-24,0.53,5.5,1,6,0.23,0.24,0.9,0.25,0.17,0.69,0.9,0.28,0.59,0.66,0.13,0.07,0.03,0.18
00-78,Oil,36.92914,-121.58455,Sargent field,Training,n/a,12,< 5,-24.2,0.56,5,1,5,0.22,0.23,0.85,0.25,0.17,0.67,0.92,0.29,0.59,0.63,0.18,0.05,0.03,0.19
00-102,Tar,33.94255,-119.96847,Santa Rosa Island,Training,n/a,211,< 5,-22.8,0.33,5.3,1.1,21,0.93,1.2,0,0.13,0.39,0.56,0,0.44,0.67,1.7,0.88,0.07,0.1,0.1
00-104,Tar,33.94325,-119.96832,Santa Rosa Island,Training,n/a,22,< 5,-23.4,0.14,5.4,1.1,50,4.1,8.6,0,0,0,0.32,0,0.5,0.63,2.5,3,0.02,0.13,0.06
00-109,Tar,33.98147,-119.99592,Santa Rosa Island,Training,n/a,22,< 5,-23.2,0.28,4.4,1,31,1.4,1.9,0,0.16,0.41,0.5,0,0.49,0.71,1.8,1.2,0.05,0.11,0.08
00-111,Tar,33.98017,-119.9991,Santa Rosa Island,Training,n/a,22,< 5,-23.1,0.22,3.7,0.79,59,2.1,2.8,0,0.17,0.55,0.38,0,0.47,0.67,2.2,2,0.03,0.14,0.07
00-112,Tar,34.01682,-120.15292,Santa Rosa Island,Training,n/a,22,< 5,-23,0.23,3.6,0.94,84,2.1,2.5,0,0.15,0.56,0.38,0,0.46,0.63,2.3,2.1,0.03,0.13,0.07
00-113,Tar,34.01653,-120.15342,Santa Rosa Island,Training,n/a,22,< 5,-23,0.22,3.5,1,42,2,2.4,0,0.18,0.48,0.42,0,0.47,0.63,1.9,1.6,0.03,0.1,0.07
00-116,Tar,34.01588,-120.15697,Santa Rosa Island,Training,n/a,22,< 5,-23.6,0.15,5.6,1.1,55,4,8.6,0,0,0,0.32,0,0.49,0.59,2.5,2.9,0.02,0.13,0.06
00-121,Tar,34.03568,-120.04357,Santa Rosa Island,Training,n/a,211,< 5,-23,0.31,4.3,1,18,1.3,1.6,0.81,0.17,0.4,0.56,0.79,0.46,0.67,1.6,1.1,0.05,0.09,0.16
00-122,Tar,34.03568,-120.04357,Santa Rosa Island,Training,n/a,211,< 5,-23.2,0.33,4.6,1.1,17,1.3,1.4,0.87,0.18,0.36,0.53,0.88,0.42,0.67,1.7,0.99,0.05,0.09,0.11
00-123,Tar,34.03475,-120.04335,Santa Rosa Island,Training,n/a,14,< 5,-22.9,0.4,5,0.99,16,1.1,1.2,0.86,0.12,0.34,0.63,0.83,0.37,0.59,1.5,0.64,0.07,0.07,0.14
00-124,Tar,34.02042,-120.10147,Santa Rosa Island,Training,n/a,22,< 5,-23.2,0.23,3.7,0.98,53,2,2.4,0.7,0.18,0.48,0.43,0,0.5,0.71,1.9,1.6,0.03,0.11,0.07
00-127,Tar,34.00718,-120.23882,Santa Rosa Island,Training,n/a,22,< 5,-23.2,0.23,3.6,0.83,83,2.2,2.6,0.6,0.16,0.55,0.4,0,0.45,0.63,2.2,2.1,0.03,0.13,0.07
00-128,Tar,34.00718,-120.23882,Santa Rosa Island,Training,n/a,22,< 5,-23.2,0.22,3.6,0.98,48,2,2.5,0.82,0.16,0.49,0.42,0.76,0.47,0.71,2,1.7,0.03,0.11,0.07
00-133,Tar,33.96648,-120.20493,Santa Rosa Island,Training,n/a,22,< 5,-23.2,0.2,3.5,0.87,52,2,2.4,0.73,0.16,0.51,0.43,0.74,0.48,0.67,2,1.8,0.03,0.11,0.07
00-142,Tar,33.91872,-120.16937,Santa Rosa Island,Training,n/a,211,< 5,-22.9,0.4,5.9,1.1,11,1.1,1.2,0.8,0.1,0.41,0.67,0.89,0.46,0.67,1.5,0.7,0.07,0.08,0.1
00-143,Tar,33.92527,-120.17878,Santa Rosa Island,Training,n/a,22,< 5,-23.1,0.21,3.7,1,59,2,2.4,0.73,0.16,0.53,0.4,0.75,0.49,0.71,2.1,1.9,0.03,0.12,0.07
01-13,Tar,34.55415,-120.6115,Boathouse,Training,n/a,22,< 5,-23.2,0.25,3.3,1.1,42,2,2.3,0.78,0.24,0.45,0.42,0.75,0.48,0.67,1.8,1.4,0.03,0.09,0.12
01-17,Tar,34.55415,-120.6115,Boathouse,Training,n/a,22,< 5,-23.1,0.24,3.3,1.1,31,2,2.4,0.83,0.24,0.45,0.42,0.74,0.47,0.67,1.8,1.6,0.03,0.1,0.12
01-19,Tar,34.52382,-120.51242,Jalama,Training,n/a,22,< 5,-23.1,0.24,3.3,1.1,20,2.1,2.5,0.79,0.23,0.44,0.4,0.74,0.5,0.67,1.8,1.8,0.03,0.1,0.12
01-20,Tar,34.52382,-120.51242,Jalama,Training,n/a,22,< 5,-23.2,0.24,3.2,1.1,39,2.1,2.6,0.78,0.23,0.44,0.4,0.73,0.47,0.71,1.8,1.6,0.03,0.1,0.11
01-25,Tar,34.5097,-120.5022,Jalama,Training,n/a,22,< 5,-23.2,0.24,3.5,1.1,24,1.9,2.7,0.84,0.24,0.43,0.4,0.72,0.48,0.71,1.8,1.6,0.03,0.1,0.11
01-26,Tar,34.52326,-120.51201,Jalama,Training,n/a,22,< 5,-23.2,0.24,3.5,1.1,33,2.1,2.5,0.8,0.24,0.44,0.4,0.71,0.47,0.71,1.8,1.6,0.03,0.1,0.11
01-27,Oil,34.49501,-120.70229,"Hidalgo, C-2",Training,n/a,213,< 5,-23.9,0.31,3.4,1.1,20,1.2,1.3,0.71,0.32,0.33,0.5,0.72,0.45,0.67,1.4,0.52,0.07,0.08,0.17
01-29,Oil,34.49501,-120.70229,"Hidalgo, C-7",Training,n/a,14,< 5,-24.1,0.48,3.9,1.1,4,1.2,1.3,0.8,0.32,0.34,0.56,0.89,0.48,0.77,1,0.39,0.1,0.1,0.33
01-30,Oil,34.49501,-120.70229,"Hidalgo, C-11",Training,n/a,213,< 5,-23.9,0.36,3.6,1.1,7,1.2,1.2,0.74,0.36,0.31,0.59,0.74,0.41,0.67,1.1,0.17,0.06,0.07,0.24
01-31,Oil,34.49501,-120.70229,"Hidalgo, comingled",Training,n/a,213,< 5,-24,0.34,3.5,1.1,12,1.2,1.3,0.75,0.33,0.35,0.56,0.78,0.49,0.67,1.4,0.45,0.07,0.09,0.21
01-32,Oil,34.49501,-120.70229,"Hidalgo, C-8",Training,n/a,213,< 5,-23.7,0.36,3.6,1.1,5,1.3,1.4,0.73,0.41,0.3,0.63,0.74,0.42,0.67,0.93,0.15,0.06,0.08,0.27
01-33,Oil,34.45508,-120.64639,"Hermosa, B-2WB01",Training,n/a,213,< 5,-24.7,0.32,3.4,1.1,18,1.2,1.4,0.72,0.32,0.34,0.5,0.74,0.45,0.63,1.5,0.52,0.06,0.08,0.18
01-34,Oil,34.45508,-120.64639,"Hermosa, B-1WB01",Training,n/a,213,< 5,-24.9,0.31,3.8,1.1,16,1.2,1.4,0.76,0.31,0.33,0.53,0.76,0.44,0.63,1.5,0.52,0.07,0.08,0.18
01-35,Oil,34.45508,-120.64639,"Hermosa, composite",Training,n/a,213,< 5,-23.6,0.29,3.9,1,18,1.2,1.3,0.75,0.33,0.34,0.53,0.75,0.47,0.67,1.5,0.52,0.07,0.08,0.19
01-36,Oil,34.46914,-120.68082,"Harvest, A-7",Training,n/a,213,< 5,-23.6,0.31,3.6,1.1,18,1.2,1.4,0.72,0.33,0.34,0.56,0.73,0.46,0.63,1.5,0.49,0.07,0.08,0.18
01-37,Oil,34.46914,-120.68082,"Harvest, composite",Training,n/a,213,< 5,-23.5,0.29,3.8,1.2,29,1.2,1.4,0.83,0.37,0.31,0.53,0.71,0.39,0.63,1.3,0.34,0.06,0.07,0.19
01-38,Oil,34.46914,-120.68082,"Harvest, A-13",Training,n/a,213,< 5,-23.2,0.32,3.8,1.2,17,1.2,1.4,0.76,0.33,0.35,0.53,0.72,0.45,0.67,1.5,0.57,0.07,0.08,0.18
01-39,Oil,34.46914,-120.68082,"Harvest, composite",Training,n/a,213,< 5,-23.7,0.3,3.6,1.1,21,1.2,1.4,0.73,0.34,0.35,0.53,0.71,0.46,0.63,1.5,0.49,0.06,0.08,0.18
01-40,Tar,34.88888,-120.63907,Casmalia,Training,n/a,34,< 5,-22.8,0.21,2.7,1.1,100,3.6,4.9,0.66,0.16,0.79,0.26,0.66,0.52,0.71,2.2,0.73,0.03,0.11,0.09
01-41,Tar,34.88665,-120.63932,Casmalia,Training,n/a,22,< 5,-23.1,0.24,3.5,1.2,31,2,2.7,0.84,0.28,0.44,0.42,0.7,0.47,0.71,1.9,1.7,0.03,0.1,0.11
01-42,Tar,34.88208,-120.63928,Casmalia,Training,n/a,34,< 5,-22.8,0.22,2.9,1.1,96,3.6,4.8,0.64,0.17,0.8,0.27,0.64,0.53,0.71,2.2,0.83,0.03,0.12,0.1
01-45,Tar,34.55415,-120.6115,Boathouse,Training,n/a,22,< 5,-23,0.25,3.3,1.1,32,2.1,2.6,0.81,0.24,0.44,0.4,0.73,0.47,0.71,1.7,1.5,0.03,0.1,0.12
01-47,Tar,34.55415,-120.6115,Boathouse,Training,n/a,22,< 5,-23.3,0.24,3.4,1,34,2.1,2.8,0.81,0.24,0.43,0.4,0.75,0.49,0.71,1.9,1.6,0.03,0.11,0.11
01-50,Tar,34.55415,-120.6115,Boathouse,Training,n/a,22,< 5,-23.2,0.25,3.3,1.1,32,1.9,2.5,0.8,0.24,0.44,0.42,0.74,0.49,0.71,1.7,1.5,0.03,0.1,0.12
01-53,Tar,34.72065,-120.60867,Surf,Training,n/a,34,< 5,-23,0.22,2.9,0.92,157,3.6,4.8,0.64,0.14,0.78,0.28,0.66,0.54,0.67,2.3,0.82,0.02,0.12,0.09
01-54,Tar,34.68458,-120.60588,Surf,Training,n/a,22,< 5,-23.3,0.24,3.3,1.1,40,2,2.6,0.79,0.2,0.49,0.42,0.73,0.49,0.67,1.8,1.7,0.03,0.11,0.12
01-55,Tar,34.68495,-120.6059,Surf,Training,n/a,34,< 5,-22.8,0.21,2.9,1,133,3.3,4.6,0.65,0.13,0.86,0.29,0.67,0.53,0.67,2.3,0.77,0.03,0.12,0.09
01-56,Tar,34.68355,-120.60673,Surf,Training,n/a,22,< 5,-23,0.24,3.4,1.1,44,2,2.6,0.82,0.24,0.47,0.42,0.74,0.48,0.71,1.8,1.6,0.03,0.1,0.12
01-57,Tar,34.52387,-120.51248,Jalama,Training,n/a,22,< 5,-23.1,0.26,3.5,1.1,43,2.1,2.6,0.81,0.22,0.47,0.4,0.74,0.48,0.71,1.9,1.6,0.03,0.1,0.11
01-61,Tar,34.50925,-120.5018,Jalama,Training,n/a,22,< 5,-23.1,0.25,3.3,0.91,42,2.1,2.6,0.81,0.22,0.45,0.42,0.73,0.47,0.67,1.8,1.5,0.03,0.1,0.11
01-63,Tar,34.88932,-120.63932,Casmalia,Training,n/a,34,< 5,-22.7,0.22,2.5,1,137,3.4,4.9,0.62,0.12,0.86,0.27,0.68,0.55,0.71,2.3,0.7,0.03,0.11,0.1
01-64,Tar,34.8872,-120.6391,Casmalia,Training,n/a,22,< 5,-22.6,0.38,5.1,1.2,154,3.6,4.7,0.82,0.24,0.33,0.59,0.84,0.48,0.71,1.5,0.77,0.07,0.08,0.17
01-65,Tar,34.88508,-120.63892,Casmalia,Training,n/a,34,< 5,-22.8,0.22,2.8,0.94,136,3.5,4.8,0.66,0.14,0.79,0.29,0.71,0.54,0.67,2.3,0.77,0.03,0.12,0.1
01-66,Tar,34.88215,-120.63927,Casmalia,Training,n/a,34,< 5,-22.7,0.22,2.4,1,121,3.8,4.5,0.62,0.13,0.87,0.27,0.7,0.57,0.77,2.1,0.68,0.03,0.12,0.1
01-67,Tar,37.54835,-122.51446,Montara,Training,n/a,33,< 5,-22.4,0.22,3.3,0.97,123,3.3,4.2,0.6,0.12,0.91,0.28,0.76,0.58,0.77,2.1,1.1,0.03,0.12,0.13
02-3,Tar,34.51887,-120.50851,Jalama,Training,n/a,22,< 5,-23,0.24,3.4,1.1,45,2,2.5,0.8,0.23,0.45,0.4,0.73,0.47,0.71,1.8,1.6,0.03,0.1,0.11
02-5,Tar,34.51418,-120.50528,Jalama,Training,n/a,22,< 5,-23.1,0.24,3.5,1,43,2,2.6,0.76,0.18,0.48,0.42,0.76,0.52,0.71,1.8,1.4,0.03,0.11,0.12
02-9,Tar,34.68377,-120.60604,Surf,Training,n/a,34,< 5,-22.8,0.22,2.9,0.91,117,3.7,4.8,0.67,0.12,0.8,0.29,0.67,0.52,0.67,2.3,0.81,0.02,0.12,0.09
02-10,Tar,34.88489,-120.63897,Casmalia,Training,n/a,31,< 5,-23.1,0.25,2.8,1.1,75,3.2,4.6,0.6,0.14,0.91,0.29,0.7,0.48,0.83,1.9,2.4,0.03,0.16,0.1
02-11,Tar,34.88389,-120.6388,Casmalia,Training,n/a,31,< 5,-23,0.26,2.7,1.1,116,3.2,4.3,0.64,0.12,0.88,0.27,0.67,0.48,0.83,2.1,2.4,0.03,0.17,0.1
02-14,Tar,34.86256,-120.61329,Casmalia,Training,n/a,34,< 5,-22.9,0.21,2.9,1.1,127,3.5,4.8,0.62,0.1,0.91,0.29,0.68,0.53,0.67,2,0.78,0.02,0.12,0.09
02-16,Tar,34.55459,-120.61097,Boathouse,Training,n/a,14,< 5,-22.8,0.48,5.2,1.2,3,0.72,0.98,0.87,0.24,0.3,0.63,0.86,0.44,0.67,1.3,0.9,0.08,0.09,0.22
02-20,Tar,34.5541,-120.61141,Boathouse,Training,n/a,22,< 5,-23.1,0.28,3.4,1.1,41,1.6,2.2,0.75,0.23,0.41,0.43,0.73,0.48,0.71,1.6,1.3,0.04,0.1,0.12
02-21,Tar,34.5541,-120.61141,Boathouse,Training,n/a,22,< 5,-23.1,0.24,3.5,1.1,35,2.1,2.4,0.8,0.21,0.48,0.42,0.74,0.47,0.67,1.8,1.6,0.03,0.1,0.12
02-22,Tar,34.5541,-120.61141,Boathouse,Training,n/a,22,< 5,-23.1,0.25,3.5,1.1,33,1.9,2.7,0.77,0.22,0.47,0.42,0.76,0.47,0.71,1.8,1.7,0.03,0.1,0.11
02-23,Tar,34.8893,-120.63918,Casmalia,Training,n/a,34,< 5,-22.8,0.22,2.7,0.98,134,3.7,4.6,0.6,0.11,0.87,0.29,0.7,0.55,0.67,2.4,0.79,0.02,0.13,0.1
02-24,Tar,34.88456,-120.639,Casmalia,Training,n/a,34,< 5,-22.7,0.22,2.9,0.96,137,3.9,4.6,0.61,0.11,0.86,0.29,0.7,0.57,0.67,2.3,0.78,0.02,0.13,0.1
02-25,Tar,34.88396,-120.63932,Casmalia,Training,n/a,31,< 5,-23.2,0.26,2.8,0.98,106,3,3.9,0.59,0.11,0.98,0.29,0.7,0.5,0.77,2.1,2.1,0.03,0.16,0.1
02-26,Tar,34.88328,-120.6391,Casmalia,Training,n/a,34,< 5,-22.9,0.22,2.9,0.99,147,3.4,4.8,0.61,0.12,0.85,0.3,0.69,0.56,0.63,2.4,0.79,0.03,0.12,0.1
02-27,Tar,34.68458,-120.60581,Surf,Training,n/a,22,< 5,-23,0.24,3.3,1.1,55,2,2.5,0.76,0.18,0.48,0.42,0.75,0.51,0.71,1.9,1.6,0.03,0.11,0.11
02-29,Tar,34.68282,-120.60667,Surf,Training,n/a,22,< 5,-23.2,0.24,3.4,1.1,48,2,2.6,0.76,0.18,0.47,0.42,0.75,0.5,0.71,1.9,1.6,0.03,0.11,0.11
02-31,Tar,34.40697,-119.8784,Coal Oil Point,Training,n/a,211,< 5,-22.9,0.38,4.9,1.1,9,1,1.3,0.81,0.19,0.37,0.56,0.84,0.53,0.67,1.4,0.8,0.07,0.09,0.2
02-33,Tar,34.40767,-119.8795,Coal Oil Point,Training,n/a,211,< 5,-22.8,0.4,5.1,1.1,10,1.1,1.5,0.83,0.22,0.37,0.56,0.83,0.49,0.71,1.7,0.78,0.08,0.1,0.11
02-34,Oil,34.33195,-119.61352,Dos Cuadros (Plat. A),Training,n/a,12,< 5,-23.6,0.59,5.5,1.1,16,0.24,0.21,1,0.29,0.17,0.71,1.2,0.24,0.42,0.56,0.1,0.08,0.04,0.3
02-35,Oil,34.33195,-119.61352,Dos Cuadros (Plat. A),Training,n/a,11,< 5,-23.6,0.53,6,1.2,14,0.67,0.67,0.9,0.33,0.21,0.71,0.97,0.29,0.45,0.72,0.28,0.09,0.05,0.3
02-37,Tar,34.04914,-120.35738,San Miguel Island,Training,n/a,22,< 5,-23.2,0.24,3.3,1.1,54,2,2.6,0.79,0.16,0.51,0.43,0.73,0.52,0.67,1.8,1.7,0.03,0.11,0.1
02-38,Tar,34.05062,-120.35937,San Miguel Island,Training,n/a,22,< 5,-23.2,0.23,3.4,1.1,49,2.1,2.6,0.8,0.16,0.52,0.43,0.74,0.5,0.67,1.8,1.7,0.03,0.12,0.11
02-39,Tar,34.04766,-120.33771,San Miguel Island,Training,n/a,33,< 5,-22.7,0.22,3.3,0.98,159,3.3,3.9,0.62,0.1,0.93,0.27,0.74,0.59,0.77,2.1,1.1,0.03,0.12,0.12
02-40,Tar,34.04832,-120.42565,San Miguel Island,Training,n/a,33,< 5,-22.8,0.2,3.6,1,129,3.4,4,0.61,0.08,1.1,0.24,0.72,0.58,0.83,2.2,1.1,0.02,0.13,0.1
02-44,Tar,34.05026,-120.40338,San Miguel Island,Training,n/a,22,< 5,-23.2,0.24,3.3,1,36,2,2.5,0.78,0.16,0.51,0.42,0.76,0.49,0.67,1.8,1.5,0.03,0.11,0.11
02-46,Tar,34.05267,-120.38888,San Miguel Island,Training,n/a,22,< 5,-23.2,0.23,3.4,1.1,46,2.1,2.5,0.78,0.17,0.49,0.42,0.74,0.5,0.67,1.9,1.5,0.03,0.11,0.1
02-48,Tar,34.0584,-120.38041,San Miguel Island,Training,n/a,22,< 5,-22.9,0.28,3.6,0.99,56,1.9,2.4,0.83,0.15,0.5,0.43,0.78,0.49,0.63,1.9,1.3,0.03,0.1,0.12
02-49,Tar,34.06414,-120.37218,San Miguel Island,Training,n/a,33,< 5,-22.9,0.2,3.6,1,126,3.3,4.1,0.61,0.08,1.1,0.26,0.74,0.59,0.83,2.1,1.1,0.03,0.13,0.11
02-51,Tar,34.07333,-120.36333,San Miguel Island,Training,n/a,22,< 5,-23.2,0.29,4.2,1,20,1.6,1.8,0.83,0.16,0.47,0.48,0.8,0.5,0.67,1.7,1.2,0.05,0.1,0.14
02-52,Tar,34.07333,-120.36333,San Miguel Island,Training,n/a,22,< 5,-23.1,0.26,3.7,0.98,50,1.8,2.3,0.81,0.14,0.51,0.43,0.77,0.52,0.67,1.9,1.4,0.04,0.11,0.12
02-54,Tar,34.02014,-120.31005,San Miguel Island,Training,n/a,22,< 5,-23.2,0.24,3.6,1,57,1.9,2.5,0.77,0.16,0.52,0.43,0.77,0.52,0.67,1.9,1.6,0.03,0.12,0.11
02-57,Seep,34.44592,-120.48645,Point Conception,Training,n/a,22,< 5,-23.3,0.23,3.5,1.1,47,2,2.5,0.78,0.16,0.51,0.42,0.75,0.52,0.67,1.8,1.4,0.03,0.11,0.11
02-58,Seep,34.44592,-120.48645,Point Conception,Training,n/a,22,< 5,-23.1,0.26,3.7,1,48,2,2.4,0.77,0.16,0.51,0.42,0.75,0.53,0.67,1.8,1.3,0.03,0.11,0.13
02-59,Seep,34.43263,-120.4208,Point Conception,Training,n/a,22,< 5,-23.3,0.24,3.6,1,58,2.2,2.2,0.78,0.16,0.51,0.43,0.77,0.52,0.67,1.8,1.4,0.03,0.11,0.12
02-60,Tar,34.43263,-120.4208,Point Conception,Training,n/a,22,< 5,-23.2,0.24,3.5,1,57,2,2.5,0.77,0.16,0.51,0.42,0.76,0.5,0.63,1.9,1.4,0.03,0.11,0.12
02-61,Tar,34.43263,-120.4208,Point Conception,Training,n/a,22,< 5,-23.3,0.24,3.4,1.1,45,2,2.5,0.76,0.16,0.51,0.42,0.75,0.51,0.67,1.8,1.5,0.03,0.11,0.11
02-65,Seep,34.42768,-120.38065,Point Conception,Training,n/a,212,< 5,-22.5,0.36,4.2,1.1,47,1.4,1.6,0.81,0.2,0.38,0.5,0.72,0.43,0.63,1.4,0.36,0.04,0.07,0.15
02-68,Oil,34.6103,-120.72951,"Irene, tank V-160",Training,n/a,213,< 5,-23,0.36,3.8,1.1,27,1.4,1.5,0.68,0.22,0.37,0.63,0.7,0.47,0.56,1.6,0.46,0.08,0.1,0.2
02-69,Oil,34.6103,-120.72951,"Irene, HS&P C-13",Training,n/a,213,< 5,-23,0.33,3.8,1.1,29,1.4,1.5,0.68,0.21,0.37,0.63,0.7,0.44,0.53,1.6,0.43,0.08,0.09,0.21
02-70,Oil,34.6103,-120.72951,"Irene, Tank Farm",Training,n/a,213,< 5,-23,0.36,3.9,1,29,1.4,1.5,0.69,0.21,0.36,0.63,0.7,0.48,0.53,1.6,0.45,0.08,0.1,0.22
02-71,Tar,34.5541,-120.61141,Boathouse,Training,n/a,213,< 5,-22.9,0.36,3.9,1,34,1.4,1.5,0.68,0.21,0.37,0.63,0.7,0.46,0.56,1.6,0.43,0.08,0.1,0.21
02-72,Tar,34.5541,-120.61141,Boathouse,Training,n/a,22,< 5,-23.1,0.24,3.6,1,58,2,2.4,0.77,0.16,0.54,0.43,0.77,0.5,0.67,1.8,1.5,0.03,0.11,0.12
02-76,Tar,34.55464,-120.61066,Boathouse,Training,n/a,14,< 5,-23,0.48,5.7,1.1,5,0.73,0.97,0.87,0.19,0.33,0.59,0.89,0.46,0.63,1.4,0.79,0.08,0.08,0.22
02-77,Tar,34.55454,-120.61105,Boathouse,Training,n/a,22,< 5,-23.1,0.24,3.6,1.1,47,2,2.4,0.74,0.16,0.51,0.43,0.75,0.53,0.67,1.8,1.4,0.03,0.11,0.12
02-78,Tar,34.52446,-120.51286,Jalama,Training,n/a,22,< 5,-23.2,0.24,3.5,1.1,54,2,2.4,0.77,0.16,0.51,0.43,0.76,0.52,0.67,1.9,1.4,0.03,0.11,0.11
02-79,Tar,34.519,-120.50852,Jalama,Training,n/a,22,< 5,-23.3,0.25,3.4,1.1,46,1.9,2.3,0.79,0.16,0.52,0.43,0.76,0.53,0.63,1.7,1.4,0.03,0.11,0.12
02-84,Tar,34.88652,-120.63882,Casmalia,Training,n/a,34,< 5,-22.9,0.22,2.9,0.81,166,3.7,4.5,0.63,0.1,0.94,0.32,0.72,0.56,0.63,2.4,0.75,0.02,0.13,0.09
02-85,Oil,34.38984,-119.90606,Platform Holly,Training,n/a,211,< 5,-22.9,0.34,5.1,1.1,7,0.95,1.2,0.79,0.21,0.38,0.56,0.81,0.53,0.67,1.4,0.87,0.07,0.09,0.21
02-86,Oil,34.38984,-119.90606,Platform Holly,Training,n/a,14,< 5,-23.1,0.56,6.7,1.2,4,0.9,1.1,0.84,0.27,0.3,0.77,0.88,0.49,0.63,0.93,0.5,0.1,0.07,0.32
02-87,Tar,34.68445,-120.60577,Surf,Training,n/a,22,< 5,-23,0.26,3.5,1,61,2,2.4,0.77,0.16,0.52,0.44,0.76,0.55,0.67,1.9,1.4,0.03,0.12,0.11
02-88,Tar,34.68045,-120.60737,Surf,Training,n/a,34,< 5,-22.8,0.22,2.9,1.1,156,3.5,4.3,0.63,0.1,0.91,0.3,0.72,0.54,0.67,2.3,0.74,0.03,0.13,0.09
02-89,Tar,34.6798,-120.60735,Surf,Training,n/a,34,< 5,-22.8,0.22,2.9,1,168,3.9,4.1,0.64,0.09,0.93,0.28,0.71,0.55,0.67,2.5,0.74,0.03,0.13,0.1
02-90,Tar,34.88251,-120.63911,Casmalia,Training,n/a,31,< 5,-22.9,0.26,2.9,1,102,3,3.3,0.63,0.1,1,0.3,0.72,0.51,0.77,2,2,0.03,0.18,0.1
02-91,Tar,34.51647,-120.50631,Jalama,Training,n/a,22,< 5,-22.9,0.25,3.6,1.1,45,2,2.3,0.81,0.16,0.52,0.42,0.77,0.52,0.67,1.9,1.5,0.03,0.12,0.12
02-97,Tar,34.47076,-120.22364,Gaviota,Training,n/a,11,< 5,-23.1,0.67,6.4,1.3,3,0.7,0.8,0.89,0.25,0.28,0.74,0.9,0.4,0.56,0.68,0.25,0.11,0.1,0.35
02-98,Tar,34.40922,-119.87217,Coal Oil Point,Training,n/a,211,< 5,-22.5,0.4,5.2,1.3,8,1.2,1.3,0.84,0.21,0.38,0.58,0.82,0.48,0.67,1.3,0.8,0.08,0.09,0.18
02-99,Tar,34.40849,-119.8754,Coal Oil Point,Training,n/a,211,< 5,-23,0.37,4.9,1.2,8,1.2,1.4,0.83,0.22,0.36,0.56,0.82,0.46,0.67,1.4,0.82,0.07,0.09,0.17
02-100,Tar,34.40811,-119.87633,Coal Oil Point,Training,n/a,211,< 5,-22.9,0.38,5,1.2,9,1.3,1.5,0.83,0.22,0.38,0.56,0.83,0.47,0.67,1.5,0.79,0.07,0.08,0.17
02-101,Tar,34.40613,-119.75596,Arroyo Burro,Training,n/a,22,< 5,-23.1,0.24,3.2,1.2,45,2,2.2,0.84,0.16,0.5,0.42,0.75,0.47,0.67,1.6,1.5,0.04,0.12,0.13
02-103,Tar,34.41435,-119.58288,Loon Point,Training,n/a,22,< 5,-23.3,0.26,3.4,1.2,49,1.8,2.1,0.79,0.17,0.5,0.44,0.72,0.47,0.67,1.6,1.5,0.03,0.12,0.12
02-105,Tar,34.41601,-119.58654,Loon Point,Training,n/a,22,< 5,-23.1,0.24,3.2,1.2,50,2.1,2.2,0.79,0.18,0.49,0.43,0.74,0.47,0.71,1.5,1.7,0.03,0.13,0.13
02-106,Tar,34.46385,-120.10111,Tajiguas,Training,n/a,22,< 5,-23.3,0.26,3.3,1.3,57,2,2.4,0.81,0.17,0.49,0.44,0.73,0.47,0.67,1.7,1.7,0.03,0.12,0.11
